Time (s)	Load (gf)	Displacement (mm)
12,134	0	1,204
12,156	0	1,206
12,182	2	1,208
12,201	0	1,21
12,223	0	1,212
12,241	2	1,214
12,256	2	1,215
12,269	2	1,218
12,297	0	1,219
12,312	0	1,22
12,324	2	1,222
12,336	2	1,223
12,348	2	1,224
12,366	2	1,226
12,379	2	1,227
12,4	0	1,23
12,419	2	1,232
12,437	0	1,235
12,466	0	1,236
12,483	0	1,238
12,503	2	1,24
12,521	0	1,242
12,534	0	1,244
12,553	2	1,245
12,571	2	1,247
12,589	2	1,249
12,612	2	1,25
12,627	0	1,252
12,64	0	1,253
12,652	0	1,254
12,664	0	1,256
12,676	0	1,257
12,694	2	1,259
12,706	2	1,26
12,718	0	1,262
12,743	0	1,264
12,761	0	1,266
12,774	0	1,267
12,786	0	1,268
12,798	2	1,269
12,81	2	1,271
12,831	0	1,272
12,843	2	1,274
12,855	2	1,275
12,867	2	1,276
12,88	2	1,277
12,892	2	1,278
12,904	2	1,281
12,932	2	1,284
12,959	2	1,285
12,971	2	1,286
12,983	2	1,288
12,995	2	1,289
13,007	2	1,29
13,019	2	1,291
13,031	2	1,292
13,043	2	1,294
13,055	2	1,295
13,067	2	1,296
13,079	0	1,297
13,091	0	1,298
13,103	0	1,3
13,115	0	1,302
13,135	0	1,304
13,156	0	1,305
13,168	0	1,306
13,181	2	1,307
13,197	2	1,309
13,209	2	1,31
13,227	0	1,313
13,251	2	1,315
13,273	0	1,317
13,286	0	1,318
13,305	0	1,321
13,329	2	1,322
13,341	2	1,323
13,354	2	1,324
13,366	2	1,326
13,383	0	1,328
13,396	0	1,328
13,408	2	1,33
13,424	2	1,332
13,448	0	1,334
13,467	0	1,336
13,488	0	1,34
13,525	0	1,342
13,538	0	1,343
13,549	0	1,344
13,562	0	1,346
13,584	2	1,348
13,601	2	1,35
13,621	2	1,351
13,634	2	1,353
13,652	2	1,354
13,664	2	1,356
13,681	2	1,357
13,694	2	1,359
13,715	2	1,361
13,733	0	1,362
13,746	0	1,364
13,768	2	1,367
13,792	2	1,368
13,807	2	1,37
13,824	2	1,372
13,847	2	1,375
13,879	2	1,378
13,897	2	1,38
13,916	2	1,38
13,928	2	1,382
13,945	2	1,384
13,957	2	1,385
13,97	2	1,386
13,982	0	1,387
13,994	0	1,388
14,006	2	1,39
14,027	2	1,392
14,044	2	1,393
14,057	0	1,395
14,069	0	1,396
14,081	0	1,397
14,093	2	1,398
14,105	2	1,4
14,121	2	1,401
14,133	2	1,402
14,145	2	1,404
14,157	2	1,406
14,186	2	1,409
14,221	2	1,411
14,234	2	1,413
14,251	2	1,414
14,263	2	1,415
14,276	2	1,416
14,288	2	1,418
14,3	2	1,419
14,312	2	1,42
14,33	2	1,422
14,342	2	1,423
14,354	2	1,426
14,377	2	1,427
14,394	2	1,428
14,406	2	1,43
14,419	2	1,432
14,443	2	1,434
14,461	2	1,436
14,479	2	1,437
14,492	2	1,438
14,504	2	1,44
14,522	2	1,441
14,534	2	1,444
14,563	2	1,446
14,58	2	1,447
14,593	2	1,448
14,605	0	1,45
14,622	0	1,452
14,641	2	1,453
14,653	0	1,456
14,682	2	1,459
14,707	2	1,46
14,728	2	1,463
14,752	2	1,465
14,774	2	1,466
14,786	0	1,468
14,802	0	1,47
14,825	2	1,471
14,837	2	1,474
