water2	water2	water2	
Force	Distance	Time	
g	mm	sec	

0.0883969	2.029	4.06	
0.155747	2.032	4.065	
0.208364	2.034	4.07	
0.225202	2.037	4.075	
0.212573	2.039	4.08	
0.187317	2.042	4.085	
0.174689	2.044	4.09	
0.122072	2.047	4.095	
0.0736641	2.049	4.1	
0.0589313	2.052	4.105	
0.0484078	2.054	4.11	
0.0357797	2.057	4.115	
0.0420938	2.059	4.12	
0.0547219	2.062	4.125	
0.0883969	2.064	4.13	
0.128386	2.067	4.135	
0.128386	2.069	4.14	
0.155747	2.072	4.145	
0.16627	2.074	4.15	
0.136805	2.077	4.155	
0.143119	2.079	4.16	
0.141014	2.082	4.165	
0.136805	2.084	4.17	
0.107339	2.087	4.175	
0.0905016	2.089	4.18	
0.0947109	2.092	4.185	
0.0547219	2.094	4.19	
0.06735	2.097	4.195	
0.0715594	2.099	4.2	
0.0778734	2.102	4.205	
0.0799781	2.104	4.21	
0.0883969	2.107	4.215	
0.101025	2.109	4.22	
0.128386	2.112	4.225	
0.115758	2.114	4.23	
0.117863	2.117	4.235	
0.147328	2.119	4.24	
0.115758	2.122	4.245	
0.111548	2.124	4.25	
0.111548	2.127	4.255	
0.115758	2.129	4.26	
0.115758	2.132	4.265	
0.0968156	2.134	4.27	
0.0778734	2.137	4.275	
0.111548	2.139	4.28	
0.0968156	2.142	4.285	
0.0883969	2.144	4.29	
0.0820828	2.147	4.295	
0.0905016	2.149	4.3	
0.115758	2.152	4.305	
0.105234	2.154	4.31	
0.122072	2.157	4.315	
0.145223	2.159	4.32	
0.136805	2.162	4.325	
0.132595	2.164	4.33	
0.143119	2.167	4.335	
0.117863	2.169	4.34	
0.0989203	2.172	4.345	
0.0568266	2.174	4.35	
0.0547219	2.177	4.355	
0.0547219	2.179	4.36	
0.0589313	2.182	4.365	
0.0757688	2.184	4.37	
0.0862922	2.187	4.375	
0.119967	2.189	4.38	
0.138909	2.192	4.385	
0.155747	2.194	4.39	
0.174689	2.197	4.395	
0.159956	2.199	4.4	
0.132595	2.202	4.405	
0.122072	2.204	4.41	
0.1347	2.207	4.415	
0.117863	2.209	4.42	
0.0736641	2.212	4.425	
0.0484078	2.214	4.43	
0.0631406	2.217	4.435	
0.06735	2.219	4.44	
0.0526172	2.222	4.445	
0.0757688	2.224	4.45	
0.107339	2.227	4.455	
0.126281	2.229	4.46	
0.126281	2.232	4.465	
0.130491	2.234	4.47	
0.143119	2.237	4.475	
0.147328	2.239	4.48	
0.117863	2.242	4.485	
0.101025	2.244	4.49	
0.10313	2.247	4.495	
0.0947109	2.249	4.5	
0.0883969	2.252	4.505	
0.0757688	2.254	4.51	
0.10313	2.257	4.515	
0.0947109	2.259	4.52	
0.0652453	2.262	4.525	
0.0989203	2.264	4.53	
0.0968156	2.267	4.535	
0.0968156	2.269	4.54	
0.0883969	2.272	4.545	
0.0862922	2.274	4.55	
0.109444	2.277	4.555	
0.113653	2.279	4.56	
0.0968156	2.282	4.565	
0.122072	2.284	4.57	
0.136805	2.287	4.575	
0.117863	2.289	4.58	
0.130491	2.292	4.585	
0.124177	2.294	4.59	
0.115758	2.297	4.595	
0.122072	2.299	4.6	
0.109444	2.302	4.605	
0.107339	2.304	4.61	
0.111548	2.307	4.615	
0.0947109	2.309	4.62	
0.0968156	2.312	4.625	
0.0841875	2.314	4.63	
0.0799781	2.317	4.635	
0.0652453	2.319	4.64	
0.0526172	2.322	4.645	
0.0757688	2.324	4.65	
0.0905016	2.327	4.655	
0.0841875	2.329	4.66	
0.119967	2.332	4.665	
0.145223	2.334	4.67	
0.17048	2.337	4.675	
0.183108	2.339	4.68	
0.185213	2.342	4.685	
0.214678	2.344	4.69	
0.176794	2.347	4.695	
0.10313	2.349	4.7	
0.0694547	2.352	4.705	
0.0610359	2.354	4.71	
0.0441984	2.357	4.715	
0.0252563	2.359	4.72	
0.0126281	2.362	4.725	
0.0484078	2.364	4.73	
0.0547219	2.367	4.735	
0.0463031	2.369	4.74	
0.0905016	2.372	4.745	
0.109444	2.374	4.75	
0.155747	2.377	4.755	
0.193631	2.379	4.76	
0.225202	2.382	4.765	
