frame_stiffness_no_sample1	frame_stiffness_no_sample1	frame_stiffness_no_sample1	
Force	Distance	Time	
g	mm	sec	

-0.0463103	0.027	2.785	
-0.168401	0.027	2.79	
0.0273652	0.027	2.795	
0.229447	0.027	2.8	
0.138931	0.028	2.805	
0.0884106	0.028	2.81	
0.301017	0.028	2.815	
0.357853	0.028	2.82	
0.00210502	0.028	2.825	
-0.242077	0.028	2.83	
-0.0631505	0.028	2.835	
0.0905157	0.028	2.84	
-0.0736755	0.028	2.845	
-0.193661	0.028	2.85	
0.0842006	0.028	2.855	
0.265232	0.028	2.86	
0.0673605	0.028	2.865	
-0.111566	0.028	2.87	
0.0568354	0.028	2.875	
0.197871	0.028	2.88	
-0.0126301	0.028	2.885	
-0.147351	0.028	2.89	
0.122091	0.028	2.895	
0.387323	0.028	2.9	
0.231552	0.029	2.905	
0.0378903	0.029	2.91	
0.197871	0.029	2.915	
0.307332	0.029	2.92	
-0.0336802	0.029	2.925	
-0.345223	0.029	2.93	
-0.185241	0.029	2.935	
0.0652555	0.029	2.94	
-0.0252602	0.029	2.945	
-0.145246	0.029	2.95	
0.0905157	0.029	2.955	
0.311542	0.029	2.96	
0.113671	0.029	2.965	
-0.132616	0.029	2.97	
-0.0547304	0.029	2.975	
0.0778856	0.029	2.98	
-0.0294702	0.029	2.985	
-0.103146	0.029	2.99	
0.155771	0.029	2.995	
0.446263	0.029	3	
0.326277	0.03	3.005	
0.130511	0.03	3.01	
0.277862	0.03	3.015	
0.406268	0.03	3.02	
0.0673605	0.03	3.025	
-0.292597	0.03	3.03	
-0.202081	0.03	3.035	
0.0399953	0.03	3.04	
-0.0463103	0.03	3.045	
-0.214712	0.03	3.05	
-0.0442053	0.03	3.055	
0.229447	0.03	3.06	
0.145246	0.03	3.065	
-0.0842006	0.03	3.07	
0.00842006	0.03	3.075	
0.221027	0.03	3.08	
0.119986	0.03	3.085	
-0.0484154	0.03	3.09	
0.0884106	0.03	3.095	
