gelC_I_3mm11	gelC_I_3mm11	gelC_I_3mm11	
Force	Distance	Time	
g	mm	sec	

0.0147261	0.029	2.935	
0.161987	0.029	2.94	
0.00420744	0.029	2.945	
-0.153572	0.029	2.95	
-0.0462819	0.029	2.955	
0.0967712	0.029	2.96	
-0.0420744	0.029	2.965	
-0.183024	0.029	2.97	
-0.0273484	0.029	2.975	
0.143053	0.029	2.98	
0.0610079	0.029	2.985	
-0.100979	0.029	2.99	
0.037867	0.029	2.995	
0.183024	0.029	3	
0.0273484	0.03	3.005	
-0.151468	0.03	3.01	
-0.0357633	0.03	3.015	
0.149364	0.03	3.02	
-0.00420744	0.03	3.025	
-0.145157	0.03	3.03	
0.0126223	0.03	3.035	
0.176713	0.03	3.04	
0.0252447	0.03	3.045	
-0.185128	0.03	3.05	
-0.0841489	0.03	3.055	
0.0631117	0.03	3.06	
-0.037867	0.03	3.065	
-0.159883	0.03	3.07	
-0.0126223	0.03	3.075	
0.183024	0.03	3.08	
0.0715266	0.03	3.085	
-0.122016	0.03	3.09	
-0.0399707	0.03	3.095	
0.0715266	0.03	3.1	
-0.0420744	0.031	3.105	
-0.155675	0.031	3.11	
0.0399707	0.031	3.115	
0.201957	0.031	3.12	
0.0820452	0.031	3.125	
-0.100979	0.031	3.13	
-0.0126223	0.031	3.135	
0.100979	0.031	3.14	
-0.0546968	0.031	3.145	
-0.189335	0.031	3.15	
-0.0399707	0.031	3.155	
0.157779	0.031	3.16	
0.075734	0.031	3.165	
-0.0399707	0.031	3.17	
0.0631117	0.031	3.175	
0.172505	0.031	3.18	
-0.00420744	0.031	3.185	
-0.19775	0.031	3.19	
-0.0715266	0.031	3.195	
0.075734	0.031	3.2	
-0.0147261	0.032	3.205	
-0.115705	0.032	3.21	
0.0631117	0.032	3.215	
0.208268	0.032	3.22	
0.0399707	0.032	3.225	
-0.140949	0.032	3.23	
-0.0231409	0.032	3.235	
0.132534	0.032	3.24	
-0.0147261	0.032	3.245	
-0.151468	0.032	3.25	
0.0168298	0.032	3.255	
0.161987	0.032	3.26	
0.0252447	0.032	3.265	
-0.157779	0.032	3.27	
-0.0504893	0.032	3.275	
0.0988749	0.032	3.28	
-0.0273484	0.032	3.285	
-0.178816	0.032	3.29	
-0.0357633	0.032	3.295	
0.157779	0.032	3.3	
0.0673191	0.033	3.305	
-0.0589042	0.033	3.31	
0.0736303	0.033	3.315	
0.231409	0.033	3.32	
0.0357633	0.033	3.325	
-0.147261	0.033	3.33	
0	0.033	3.335	
0.16409	0.033	3.34	
0.0210372	0.033	3.345	
-0.170401	0.033	3.35	
-0.0336596	0.033	3.355	
0.128327	0.033	3.36	
0.00420744	0.033	3.365	
-0.174609	0.033	3.37	
-0.0252447	0.033	3.375	
0.172505	0.033	3.38	
0.075734	0.033	3.385	
-0.122016	0.033	3.39	
