gel_from_2_251	gel_from_2_251	gel_from_2_251	
Force	Distance	Time	
g	mm	sec	

-0.0168298	0.046	4.63	
0.0736303	0.046	4.635	
0.239824	0.046	4.64	
0.0967712	0.046	4.645	
-0.0441782	0.046	4.65	
0.140949	0.046	4.655	
0.332388	0.046	4.66	
0.222995	0.046	4.665	
0.0273484	0.046	4.67	
0.134638	0.046	4.675	
0.267173	0.046	4.68	
0.109394	0.046	4.685	
-0.09046	0.046	4.69	
0.0420744	0.046	4.695	
0.252447	0.046	4.7	
0.16409	0.047	4.705	
0.0147261	0.047	4.71	
0.168298	0.047	4.715	
0.317662	0.047	4.72	
0.147261	0.047	4.725	
-0.0736303	0.047	4.73	
0.0420744	0.047	4.735	
0.233513	0.047	4.74	
0.161987	0.047	4.745	
0.0168298	0.047	4.75	
0.185128	0.047	4.755	
0.372359	0.047	4.76	
0.220891	0.047	4.765	
-0.0147261	0.047	4.77	
0.0525931	0.047	4.775	
0.201957	0.047	4.78	
0.0925638	0.047	4.785	
-0.0568005	0.047	4.79	
0.0946675	0.047	4.795	
0.300832	0.047	4.8	
